,feature,importance
36,GrLivArea,0.1282879111038079
25,BsmtFinSF1,0.09195603987319481
11,YearBuilt,0.08287635973218778
9,OverallQual,0.08107230545628089
10,OverallCond,0.04311896385421437
28,BsmtUnfSF,0.03796529577288561
18,ExterQual,0.03461065283877313
50,GarageCars,0.03414703618276596
33,1stFlrSF,0.02951853925524032
5,Neighborhood,0.028149588359649508
1,MSZoning,0.025305364917072973
20,Foundation,0.024928233629814042
14,Exterior1st,0.02458634202789285
34,2ndFlrSF,0.0213731371439629
30,HeatingQC,0.021258502151931133
8,HouseStyle,0.02098711613070725
51,GarageArea,0.02040806305518
64,SaleCondition,0.019204982267124283
46,FireplaceQu,0.017459888384058785
56,OpenPorchSF,0.01573287563886269
43,TotRmsAbvGrd,0.015724471047493343
45,Fireplaces,0.013425411641974543
55,WoodDeckSF,0.013147475792542164
24,BsmtFinType1,0.010783485199790927
2,LotArea,0.010763300313733935
59,ScreenPorch,0.008094514865114932
6,Condition1,0.007923579684295126
31,CentralAir,0.007754672173384695
0,MSSubClass,0.0077168381134765235
16,MasVnrType,0.007107283007422489
13,RoofStyle,0.007068420409566462
47,GarageType,0.006922194639521289
57,EnclosedPorch,0.006376750514482106
38,FullBath,0.0063418942747922626
21,BsmtQual,0.006329519130599337
40,BedroomAbvGr,0.006321916273570149
19,ExterCond,0.00611941229420399
3,LotShape,0.005657947556006801
15,Exterior2nd,0.004852596723054247
44,Functional,0.0044933545817963825
39,HalfBath,0.00435085499781354
63,SaleType,0.004227249773155976
37,BsmtFullBath,0.004105322914847027
53,GarageCond,0.0040439816071534945
35,LowQualFinSF,0.0038082196395222406
26,BsmtFinType2,0.003406786834567314
27,BsmtFinSF2,0.0031757177113077182
60,MiscVal,0.003046449984640672
12,YearRemodAdd,0.0029400161606734755
61,MoSold,0.0026595642103924774
52,GarageQual,0.0026467629011816705
23,BsmtExposure,0.002091508467691614
4,LotConfig,0.0020563168675896072
42,KitchenQual,0.002017901467650353
62,YrSold,0.001994709416412002
17,MasVnrArea,0.001851107940728213
49,GarageFinish,0.0018387301142482422
41,KitchenAbvGr,0.0014962325488378793
29,TotalBsmtSF,0.001413019039221106
54,PavedDrive,0.001273136718243314
22,BsmtCond,0.0010138068601874815
7,BldgType,0.0005588381606744836
48,GarageYrBlt,0.0001158200022878754
58,3SsnPorch,0.0
32,Electrical,0.0
