,feature,importance
9,OverallQual,0.31803660138193623
36,GrLivArea,0.19436351158357693
5,Neighborhood,0.1813476567975986
29,TotalBsmtSF,0.06492860272674732
33,1stFlrSF,0.04758707958659595
43,KitchenQual,0.046880034630697516
51,GarageCars,0.041351339008149766
25,BsmtFinSF1,0.03963817477864782
10,OverallCond,0.034803231665188845
2,LotArea,0.03071098220541324
24,BsmtFinType1,0.028120129911109234
11,YearBuilt,0.027151770009356507
52,GarageArea,0.02402509650692333
31,CentralAir,0.023057124140319348
53,GarageQual,0.01859549345726396
34,2ndFlrSF,0.018163222328376184
12,YearRemodAdd,0.016653763480903725
30,HeatingQC,0.015779508778440345
65,SaleCondition,0.015651227249889245
49,GarageYrBlt,0.013103191025795333
50,GarageFinish,0.012367269762668165
28,BsmtUnfSF,0.012318225743586233
6,Condition1,0.01181517520908035
56,WoodDeckSF,0.011741835389622148
40,HalfBath,0.01136545564077937
23,BsmtExposure,0.01051971506677291
21,BsmtQual,0.010465861118137522
62,MoSold,0.010241332045294836
48,GarageType,0.009616093551426065
47,FireplaceQu,0.009409565149860133
37,BsmtFullBath,0.00924406102829755
14,Exterior1st,0.009141486758841364
46,Fireplaces,0.008290634495762832
57,OpenPorchSF,0.008200723001496988
45,Functional,0.007831092015198434
64,SaleType,0.007795348225709682
58,EnclosedPorch,0.007732271456800746
18,ExterQual,0.006924327152205112
63,YrSold,0.006911137560428841
44,TotRmsAbvGrd,0.006619762051260069
22,BsmtCond,0.0062973453419023565
42,KitchenAbvGr,0.005228471502800986
17,MasVnrArea,0.004701767112362502
4,LotConfig,0.00452676671196436
39,FullBath,0.004513115731977732
15,Exterior2nd,0.003443463387394479
0,MSSubClass,0.00339142278770214
20,Foundation,0.002849797035365087
3,LotShape,0.0027132977019172443
55,PavedDrive,0.002200379829064183
8,HouseStyle,0.001999806171650603
27,BsmtFinSF2,0.0018658139457916941
41,BedroomAbvGr,0.0017685337655348025
60,ScreenPorch,0.0017654290605165176
16,MasVnrType,0.0015725557678193667
1,MSZoning,0.0012939711808752047
32,Electrical,0.0011320071196622647
13,RoofStyle,0.0009488744112741116
61,MiscVal,0.0005753520557356184
7,BldgType,0.00037428782811192723
26,BsmtFinType2,0.00025047839681774495
38,BsmtHalfBath,0.0001194052305572352
59,3SsnPorch,0.0
54,GarageCond,0.0
35,LowQualFinSF,0.0
19,ExterCond,0.0
